,place_name,rating,review
24,Dublin Unlocked | Private tours | Private chauffeur | Walking Tours Services - Dublin,4.625,"I have taken many tours with Jim and all of them have been 5 stars. He seems to know every ring fort, passage tomb, photo opportunity, quality food producer and story in Ireland. His tours are really good value for money as you get way more than the tour description. I can't recommend Jim Dempsey Tour Guide highly enough. Energetic, enthusiastic, knowledgable and funny... exactly what you'd want for a tour in Dublin/Ireland! Haha, found you on the map! Strongly recommend Jim as a professional tour guide and a wonderful host! Amazing! Loved it nan nan nan"
25,Dublin Zoo,4.75,"Dublin Zoo offers a delightful experience for visitors of all ages. From the moment we entered, it was evident that the zoo is meticulously maintained, with immaculate pathways and well-kept enclosures. The cleanliness of the facilities added to the overall enjoyment of our visit.

While exploring the zoo, we encountered a variety of fascinating animals. However, we were disappointed that we couldn't catch a glimpse of some of the more elusive species such as the lion, snow leopard, and tiger. Despite this, we were thrilled to see magnificent creatures like the giraffes, elephants, and California sea lions. Their habitats appeared spacious and enriched, providing a comfortable environment for the animals.

The highlight of our visit was observing the playful antics of the giraffes and the graceful movements of the elephants. The California sea lion exhibit was also captivating, offering insight into the lives of these charismatic marine mammals.

Overall, our experience at Dublin Zoo was enjoyable, especially on a day with good weather. Although we missed out on seeing a few animals, the cleanliness of the zoo and the opportunity to witness captivating species made it a memorable outing. We look forward to returning in the future to explore more of what Dublin Zoo has to offer. Big fan of the big enclosures for animals. For sure the biggest I've seen in any zoo so far.

This however does mean that it's often hard to find out even see the animals, especially from up close.

Wouldn't recommend going here if you're going because you like photography and are looking to get some cool shots because there's little options for free shots without (dirty) glass or wired fences.

The bigger enclosures also mean that There's not as many different animals as in other zoos, and that was a small disappointment.

Overall good experience, but could be more interactive, and maybe at some places possible to see the animals better. Loved this zoo! Large and full of some great animals with most being very visible. You can bet very close to the animals which is very nice! The only thing I didn't prefer were the enclosures in the middle where you have to backtrack to get back to where there are additional animals to see. Dublin Zoo has a lot to see and do for everyone! It is a large zoo with a huge variety of animals, ranging from Californian Sea Lions (not seals people, sea lions) red pandas, Asian elephants, both African and Asian lions to a basic petting zoo! Great place to go and I'd recommend buying your tickets beforehand.

Plenty of food places dotted around, water bottle refil stations and facilities. A wonderful well established and cared for zoo. Put on your walking shoes as this is a very big zoo and well worth a visit, you can spend the whole day there. It's beautiful.  Great value for money! The restaurants have great food and there's plenty of places to stop, rest and view the great many animals from around the world. Had been there with my girlfriend to experience zoo after a decade.
The zoo was amazing to be honest and the way they have kept it for the animals is brilliant. Every animal have their space to walk and move freely along with dedicated areas to come closer to audience separated by glass walls.
I personally liked Red Pandas and Sea Lions the most.
We have lunch at Meerkat restaurant alongside watching Meerkat and was an amazing day for us.
This place is highly recommended and a must visit for solo, couple and especially for families. I am sure everyone will enjoy it while having a healthy walk inside the zoo. Had a great visit to the zoo, managed to see most of the animals while we were there.  Felt the environment was really good, lots of space for the animals to relax and enjoy. Credit to all involved. Would love to visit again sometime. Keep up the good work. A little cooler today ,so not as much activity as normal. A great spot to put the day in..plenty for the kids , coffee bars , vending machines,  loads of places to sit and chill ..you can even have a puff in the smoking areas ."
26,Dublin city walks,5.0,"Top notch walking tour of Dublin with Liam!  He is very knowledgeable and pleasant.  Superb overview of Dublin history and culture.  We explored Dublin's Viking, Norman, and Georgian past capped by Irish liberation in 2.5 hours.  I look forward to returning for a literary tour. Liam is a fantastic tour guide! My husband and I really enjoyed his literary tour of Dublin. Liam Greene is an excellent, interesting, humorous guide. Highly recommend!"
27,Dublinia,4.875,"Great place for a brief retrospect and reflection of Dublin and it's colorful history. They put hard work into the setup, and it's really worth visiting. There's a neat little coffee shop within, with very friendly staff. As a side note, the place has an elevator and is wheelchair accessible. This museum offers a fascinating journey through Dublin's Viking and Medieval history. The exhibits are highly interactive and engaging, making it perfect for both adults and children. Dublinia is a must-visit for anyone interested in history or looking for an educational and fun day out in Dublin.
Additionally, they have excavation/digging activities for kids, the kids became little archeologists. Our kid was very excited about this activity. This museum is pretty interactive. Great history of the Viking age in Ireland and you'll read a lot of interesting stories of the past. Took some friends here and they really enjoyed it! Great museum with some artifacts from Dublin's past. See, it's early years as a viking camp to its medieval times. Staff was helpful and friendly. One of those must stops for history buffs. I did not booked in advance, but honestly it was empty when I arrived and the guy selling tickets was lovely! Is a mix of museum type, interactive, reading areas, also some simulations of live conditions back then, including a lovely video of a guy that lived during the 15 or 16 century (I might be recollecting the year wrongly) and a guy that gives a live presentation of Viking attires and weapons.

Is a really instructive lil museum, you are allowed at the end to visit the top of the tower. Lots of stairs but you can see Dublin within the 4 cardinal points.

Museum connects with St. Michael Church, you can either buy tickets for both or just one place.

I regretted that didn't visit this museum before, it is straightforward, on your pace and full of lil drops of knowledge.

The shop, for me, has nothing that I would die for, I think it could do more regarding the Museum main topic, but others might disagree. Interesting museum for both children and adults. A chronological journey takes you through the Viking and even medieval times. The immersion is very successful thanks to the proximity of the scenes. Audio terminals and screens, offering several languages, allow you to understand life at the time through simple explanations or historical anecdotes. Activities are offered to children which makes the course attractive. It takes 1h30 for the visit but if you are curious, count on 2h30. Leaving the museum, you will have learned the history of Dublin from its creation to the present day; particularly interesting story. Viking & medieval museum to do with children. Some description terminals in FR. Reproduction of Viking weapons, Viking village and also medieval village with reconstruction of a bourgeois residence of the time. Some friendly and patient actors/speakers for the English/French translations for the little ones so that they understand medieval professions. I recommend  Really interesting museum about the Viking era in Dublin. Worth a visit - entry is EUR15 per adult"
28,EPIC The Irish Emigration Museum,4.625,"A very indepth look at Irish people, their immigration, history, and their influence on the world. Lots of facts and interactive exhibits rich with personal stories and history. Well worth a few hours on one of those rainy Dublin days. Highly recommend. We were in Dublin and wanted to learn more about the country and culture. So we decided to go to the epic museum. Although tickets are on the pricier side, we enjoyed the experience. They give you a travel passport that you scan at the end of each exhibit, which makes it exciting. We loved the history and wished we had more time to visit. A great museum that we'd for sure recommend to people. An unusual museum in the heart of the city. An excellent experience not to be missed when traveling to this city. We learn a lot about the emigration of the Irish which is little known to us in France. The atmosphere in the museum is great, we really feel captivated by the environment. The price remains very reasonable compared to other museums in the city. In addition, the employees will do their utmost to understand you and make themselves understood even if you speak little or no English. Little extra, the passport is stamped in each room of the museum, an additional souvenir completely free. A detour to this museum is highly recommended. Really fun and interactive museum! One of the best museum I have been to! It's great for locals and tourists and you can learn a lot with the way they design the museum. It's modern and well thought! I am really impressed by it! I highly recommend it !! Very beautiful museum!
We had a great time with our children!
An audio guide is available free of charge on the phone
Allow 2 hours of visit
Small restaurant nearby They say it takes 90 minutes to go through, but you could spend 5-6 hours easily if you want to see the self guided tour in it's entirety. Ok museum, very technologically advanced displays.  $25, for adults, $21 for Seniors. Ticket good for 10 days so don't rush for the entire viewing. In one day. Since exhibits are a waste of time and push a liberal agenda, so if that offends you, stay away. They boast a 7am to 7pm but we got their at 7 am and had to wait until 10 when they really open. If you know nothing about your past or heritage, this is a great exhibition. For those who have had an interest all their life in their past, this will be too commercial for your liking.

Great for a wet day, but challenge yourself to explore Dublin more.

Also don't get caught out in the gift shop, everything will be cheaper and available across town!

There are multiple coffee and food shops beyond the exit that is also accessible from tbe street Fascinating and unique. Take the time to see this. Highly interactive and engaging. You will get your digital fix here with no need for your phone. A must see."
29,Easter Egg Tree,4.75,"Cute!! Best tree I've seen in a long time. 10/10 would recommend, now even blossoming A lovely tree on a lovely street! Beautiful in bloom. It's a tree full of eggs. What more could you want. nan"
30,Experience Gaelic Games,5.0,"This tour was so fun and a great way to understand the history of these traditional Irish sports.  The experience has super friendly and patient trainers.  The trainers teach you the rules and skills step by step, which then allows you to play a short game.  The tour can be as intense or as relaxed as you want.  It was a very memorable experience and I would highly recommend doing this tour for an Irish experience.

The experience is about 3 hours long and you learn three sports:  the first is handball (not the same as Olympic handball - more like squash or racquetball).  Then, they teach you the rules of
hurling, which is like field hockey mixed with lacrosse mixed with baseball mixed with cricket.   The last sport they teach you is gaelic football.  That is like basketball mixed with soccer mixed with volleyball and also like American football or rugby.  They take breaks between each sport to explain the rules and give you glasses of water.  The facilities are very nice as well.

It is super interesting to learn the history of these sports, how they came to be, and how the Gaelic Athletic Association is an amateur sporting association -- in fact, it is the largest amateur sports association in the world.  Each neighborhood in Ireland has its own club, and the residents play only for their area clubs.  The association does not have any professional players - just amateur players.  They explained how previously the British would ban or restrict their ability to play these traditional sports.  Recently there has been a resurgence in these traditional sports, which is great to see right now.  The trainers also answer all of the questions you may have about any of the sports, how to play the sports,
or even about life in Ireland.

In conclusion, this experience playing Irish sports is the best and most fun way to experience your time in Ireland, especially if you are traveling with children who like to do active things while on vacation in a foreign country.  As a parent, this experience is a great alternative to indoor activities such as video games, youtube, chess, or other games you may play indoors.  I can not recommend this experience enough.  My children are still talking about the three sports even though it is over.  They will remember this experience forever and playing Gaelic sports will be a highlight of the vacation for them. Amazing day here at experience Gaelic Games. Very friendly and patient staff. Good instructions. Fun and long session of the sports. Would highly recommend coming here. Also afterwards you can walk to the popular pub near the graveyard ;-) So much fun activities! And good to know a interesting sports. The staff is so friendly. An equipments and stadium are all good! We had an excellent time learning about the traditional Irish games of Gaelic football, Hurling, and Gaelic handball.
The staff was friendly, welcoming and passionate. A great place for a group activity! We had a BLAST and learned so much too! Stephen was a great instructor and added in a lot of interesting facts about the history and culture of the games. Would recommend this to any group of any age!! 10/10 and a highlight of our Ireland road trip! Gaelic games were SO fun!! We had such a big group and they accommodated us so well. I had the best experience learning about these traditional Irish games!! Highly recommend!! Cormac and his team are amazing. Not only do they do an excellent job teaching the basics of Gaelic games in a way that allow people to understand and then participate in each sport, they help participants understand the cultural significance of Gaelic games to the people of Ireland. Amazing experience! Really good fun. Well organized and perfect for our stag group. Not all sporty but everyone got involved and worked really well. Sweated out the night before and worked up a thirst for the rest of the day. It is a full on work out. Lots of running. They provide water and have good changing facilities."
31,GAA Museum & Tours,4.875,"Dizzying moment on the roof of the legendary Croke Park stadium, guided tour of the different views from the summit.
Downside all the same, no audio guide!!
Even if you master the language of Chekespeare correctly, it is complicated to understand 100% the different anecdotes of our friendly Irish guide.
Kellogg's Skyline tour is a must!
The museum introduces us to the ancestral Gaelic sports of the locals and allows us to understand why these sports are more considered than rugby and football in the eyes of the islanders. A very interesting tour of this stadium and the museum by Liam who was a very friendly guide. A good moment The tour of Croke Park stadium takes at least one hour or maybe a little longer. Our guide was a pleasant young man and our group was small. Initially, there has to be some walking done to get to the interesting parts of the tour. Without wishing to spoil it on prospective visitors, there's a variety to the visit and if you have any knowledge or interest of GAA sports, you should find this interesting. Really enjoyed the tour, we arrived earlier and were allowed to join earlier group instead of one hour wait. Lots of happening there, like deliveries or lawn moving what makes hard to hear the guide, but still worth it. Tour is well laid out, what makes it really interesting. Visiting places that only special guests or players go to make tour special. Lovely cafeteria/restaurant at premises with good food and perfect gift shop that only has GAA stuff. Also enjoyed museum activity area like hitting the slither or football or jumping. Funny historical facts made everyone laugh. Brilliant tour and museum of a very unique and historic stadium in Dublin.

The museum is small but really informative about the roots of the GAA and its role in Ireland's history.

Likewise, the tour offers a great way of exploring the inner working of the ground and gives you a unique view of the stadium.

Great even if you don't understand any of the GAA's sports. We had a fantastic time doing the Croke Park Tour and were so lucky to have Jess showing us around! :) She was absolutely brilliant and shared so much interesting information and history about the grounds. Loved the museum as well. It's such a nice tour to do and so reasonably priced! :) What a fantastic tour and museum. Our tour guide, Cian, was fun, personable, knowledgeable and made the whole experience that much better. Great behind the scenes look at Croke Park and a great learning experience from someone who hasn't really watched GAA. The museum was also a nice cherry on top. Spent last two hours in the company of one of the greatest sports player Ireland has, thank you Cora Staunton for your generosity and time. #bordgaisenergylegendstours
what a legacy to have."
32,GPO Museum,5.0,"Great way to learn more about Ireland's modern history. The audio guide is really terrific and the short movie is exceptionally well put together. The tour and museum explore all areas of life around the period of the Easter rising in 1916 to show the build-up and societal conditions that lead to revolution. It also covers the subsequent war for independence and the longer lasting effects. Great museum which we were fortunate enough to visit on the anniversary of the Easter Rising. A well thought out introduction to the history with exhibits, an immersive dramatised video, written information and commentary from a wide range of historians & experts. Well worth the entry fee. Step back in time at the GPO Museum, located within the historic General Post Office on O'Connell Street in Dublin. This engaging museum offers a profound insight into Ireland's tumultuous history, particularly the 1916 Easter Rising. Interactive exhibits and immersive narratives provide a visceral experience, capturing the pivotal moments that shaped the nation. Ideal for history enthusiasts and anyone looking to understand Ireland's path to independence, the GPO Museum is a cornerstone of cultural heritage in Dublin. The GPO Museum in Dublin provides a comprehensive and immersive exploration of Ireland's revolutionary history, focusing particularly on the events surrounding the Easter Rising of 1916. Housed within the historic General Post Office building, which served as the nerve center of the Rising, the museum offers visitors a unique opportunity to step back in time and experience the sights, sounds, and stories of this pivotal moment in Irish history.

One of the museum's standout features is the Witness History exhibition, which uses a combination of artifacts, multimedia displays, and interactive technology to bring the events of the Easter Rising to life. Visitors can follow the journey of the rebels as they plan and execute the Rising, experiencing the chaos and confusion of battle through immersive audiovisual presentations.

The museum also delves into the broader context of Irish history, exploring the social, political, and economic factors that contributed to the rise of Irish nationalism and the desire for independence. From the Great Famine to the Land War, visitors can gain a deeper understanding of the forces that shaped Ireland's struggle for self-determination.

In addition to its focus on the Easter Rising, the GPO Museum highlights the contributions of key figures in Irish history, including James Connolly, Padraig Pearse, and Countess Markievicz. Personal stories, letters, and artifacts provide insights into the lives and motivations of these individuals, offering a more intimate perspective on the events of the time.

Through its engaging exhibits and educational programs, the GPO Museum seeks to promote understanding, dialogue, and reflection on Ireland's revolutionary past and its relevance to contemporary society. It serves as a reminder of the enduring spirit of resilience, courage, and determination that defined the Irish people in their quest for freedom and independence. In this historical building you can meet the history of Ireland of the last 100 years. It s easy to visit as in the city centre. You should take audio guide as it will help you expand you knowledge and understand many historical facts in details. You may need about 1 hour to visit it. Worth combine it with another museum in the city centre for a lovely morning city excursion! Great tour and it's must if you want to learn some great Irish History Nice old building. Staff are friendly and helpful. I enjoyed buying some gifts from here that shows the lovely Irish culture Very beautiful museum to absolutely do in Dublin. I loved !"
33,Garda Siochana Memorial Garden,4.0,"A lovely garden located in the grounds of the castle, also the entrance to the Chester Beaty museum, which is definitely worth a visit. Very humbling to visit this garden and pay respects. I spent a few quiet moments just taking in the ambience. Definitely woyh a visit if you are in this area. Lovely addition to the park,
Hidden from views by Old walls An Garda Siochana Memorial Garden honours the members of An Garda Siochana who were killed in the service of the State. The names of the members of An Garda Siochana who were killed are inscribed in stone within the garden. Additionally, a specially commissioned glass sculpture commemorates the sacrifice of the families left behind and a specially commissioned stone sculpture is a tribute to all deceased members of An Garda Siochana, the Royal Irish Constabulary and the Dublin Metropolitan Police. Garda Siochana Memorial Garden

The reproduction of a Zen garden with Irish style.
Three modern sculptures in a corner of the small castle park.
We go there, we see and we leave.
Not very interesting and visit the park in 10 minutes.

Good walk This place is a very beautifully maintained dedication to men and women or Garda. Respect for all the Gardai who have dedicated their life's to keeping order and peace amongst their citizens and go above the call of duty to doing what is right for the people of Dublin. Lots of respect to those who deserve it.  Nice place Awesome park for sun bathing."
34,Garden of Remembrance,4.875,"Really beautiful place. It's a nice place to spend some time. It's very well kept with nice flowers and plenty of seating. Absolutely beautiful place to chill out and relax listening to the birds singing Wonderful peaceful place to remember those who fought for our freedom Beautifull place and we'll maintained.  They have lots of benches to sit and relax. Definitely worth a visit Opened by De Valera in 1966 to commemorate all those who lost their lives in the pursuit of Irish freedom.  It's well maintained and a little tranquil oasis in the middle of Dublin city.  There's a few steps down to it but there's also a lift.  There's lots of seating and a good spot to hide away from the blustery weather.   Not sure about car parking nearby and there's no toilets but the writer's museum is beside it and a few other spots.  One of the hop on/off buses stops beside it. Beautiful place, it would be perfect to visit on a sunny day! If you come to Dublin you need to take a walk to the garden of remembrance it's a beautiful park with lists of Irish history put it on your to do list in Ireland  A very calm link, full of emotion and history, where it is pleasant to go"
35,Giants Causeway Tour,4.875,"Went with Finn McCool tour as we had good experience from the last time we took the tour of Glendenlough. This time it was the Giants Causeway and Belfast, the tour guide was great and gave some great insights into the cultural and political background of the region along with some great music too. Time at Causeway was enough but limited at Belfast. It was great experience overall. Would recommend. Absolutely stunning and must do trip when you're in Northern Ireland... the rock formations here is a wonder and the views are amazing. Make sure to pack your jacket as it can get really windy and chilly Great walks, stunning views avoid visitor centre just a trap free toilets up at hotel and free to go to giants causeway. This was such an amazing tour!! I like it more than cliffs of moher just bc of how much there was to do. Also the drivers are absolutely AMAZING we heard Irish mythology stories, pub songs, and learned a lot of history about Ireland. Money very well spent Extraordinary experience that truly bridged the natural beauty of Norther Ireland with the fictional world of Game Of Thrones.  Flip our personal tour guide was such a pleasure to spend the day with. His passion for GOT and for sharing his knowledge from an insider perspective as well as a geological perspective were so appreciated.

We filled our day with challenging walks and funny banter from our first meeting to our final goodbye,  Flip made traveling to Ireland after a two and half year wait just exceed my expectations of what this trip could be during winter.  While it was very cold and windy touring the natural sights, Flips ability to transport you back into the GOT movies and envision being there was a bit mind blowing.  I was indeed so happy to have Flips's one on one attention and careful guidance as compared to the big bus tours that would sometimes arrive with no sight guidance.

Flips insider GOT's movie experience and stories made you feel like you had joined and insider community and you had front row tickets.  Booking a personalized private tour with Flip will make you feel like you won the lottery as well as gained a new friend in Belfast. I can honestly say that with all the personalized tours that I have experienced around the world that Flip delivers the most personal, in-depth and curated experience which can only be a 5 STAR rating. Loved the hiking & nature! Very relaxing! Absolutely fabulous tour, the nature and amazing views! I took a day tour and it was perfect. Professional with some interesting stories about the place. Amazing tour the 12 hours went by so quick. Gerard was a fantastic tour guide made everything lively and fun diving into the rich Ireland history, Fred the driver was courteous and always made the drive feel safe. Highly recommend for any traveler looking to book exciting tour of Ireland"
36,Go City(r) - Dublin,3.625,"I had a great experience using the 7 attraction choice pass in Dublin! Used it for the hop on hop off bus, night bus tour, Guinness storehouse, Jameson whiskey tour, Irish rock n roll museum, epic emigration museum, and st Patrick's cathedral! Great value. We only have 2 days in Dublin, so we selected the main  3 attractions we want to visit.
The adult 3 attractions Explorer pass seemed perfect for our needs.
I bought 2 x passes only to find out once I had downloaded the passes that each pass has a value of EUR115.
Our planned 3 attractions come to EUR124.
I tried phoning the Go City UK number. Couldn't get through, so I gave up and then spent over 30 minutes on the Go City Chat, which, by the way, leaves a lot to be desired.
To sum up, the pass can not be used for our three attractions, so we will have to rethink our plans.
I won't be using any GoCity passes again. It was not clear that when buying the 3 day pass, you could only use the hop on/hop off bus for one calendar day.   It seemed nice at first to have so many attractions in one place until you realize that most require external reservations ahead of time so you end up digging through emails to find both the reservation/ticket AND having to provide the pass QR code.   This would have been cheaper/easier to book separately.   Especially considering you don't have access to the bus to get to most attractions after day 1. If you want to visit Dublin, don't hesitate to take this pass.
We took it 3 days and didn't even get to do all the attractions offered.
Well worth paying EUR230 for 3 and we made a saving of EUR250 on our visits. You save loads of money if you plan to visit the distelleries, museums and cathedrals. The Dublin Pass comes in handy. Don't buy it if you doing a handful of attractions. The one day all inclusive pass worked great.  Hop-on Hop-off bus with access to lots of the major things to see and do in Dublin. We found this hardly usable and ended up spending extra money for things that should have been included as systems weren't working to take reservations.  I requested a partial refund to cover extra expenses incurred and it was rejected.
The tour operator, despite numerous attempts to contact them,  did not return any messages.
It ruined my day. We used it as a taxi service. It worked perfect for us especially after going to distillery's and brewery."
37,Golden Ticket Tours,5.0,"This tour is an amazing experience whether you're a tourist or a Dublin native looking for a fun day out. Clodagh is extremely knowledgeable and took us to some great spots that I've never tried before, every bit of food I tasted that day was absolutely delicious. Each stop on the tour has something completely different. There's something there for everyone. Would highly recommend this tour. The tour was so enjoyable. Clodagh was a great tour guide and you could tell she's a food expert. It was so well thought out generally. The food and craic along the way was fantastic, and it was great learning about traditional and emerging Dublin and Irish cuisine. The Pastel De Nata pastries were the bomb in particular, and a nice pint or two of Guinness at the end was a great way to finish up. It was also a great way to see Dublin and learn more of its fascinating history and character. You really get a good feel for the city and its people by the end of the tour. Unforgettable Dublin Food Tour with Chef Clodagh!

I did the food tour with Chef Clodagh with my brother and it was an absolute highlight of our trip to Dublin! From start to finish, the experience was exceptional. Clodagh's passion for food and her extensive knowledge of Dublin's culinary scene made this tour both educational and delicious.

We visited a variety of hidden gems and well-loved spots, sampling everything from traditional Irish fare to modern twists on classic dishes. Each stop was thoughtfully chosen, and Clodagh's insider tips and personal anecdotes added a unique and personal touch to the tour.

What truly set this tour apart was Clodagh's engaging personality and genuine love for what she does. She made sure everyone felt included and catered to all dietary preferences with ease. By the end of the tour, we not only had full stomachs but also a deeper appreciation for Dublin's rich culinary heritage.

If you're looking for an authentic and enjoyable food adventure in Dublin, look no further than this tour with Golden Ticket Tours. Highly recommended! This is an amazing experience. Clodagh's knowledge on food and Dublin itself was so impressive and enjoyable. A wonderful variety of the go to, delicious spots in the city. Delish tour, Would recommend again and again. This is the tour to do if you want an authentic experience of the city with a born and bred Dubliner. Not only is Clodagh, the tour host, incredibly knowledgeable about food, her passion also shines through! Awesome experience. Fabulous food and a very enjoyable way to spend the afternoon.  Saw parts of Dublin I didn't know existed. Good fun too and Clodagh knows her stuff. Highly recommended. Walking tours are something we always like to do, and this tour of Dublin is up there with the best.  It was everything it promised - amazing food, interesting anecdotes from a very knowledgeable guide, and the best pint! A fabulous new addition to the walking tours of Dublin. Clodagh was an unreal tour guide, very informative and just great craic in general! Would highly recommend!"
38,Grafton Street,4.5,"i like this street and the stores there but these ppl singing are annoying af, at least that night it was. everyone tryna be the next ed sheeran, jus cuz u ginger and short don't make u ed sheeran. Beautiful street that is rich of shops and even nice architecture, design and old buildings Busy with lots of shops and food! Great for people watching. I enjoyed see people, a mix of locals and tourists. The buildings are nice. It is a nice walk, even if you do care about the stores, as it was for me. One of Ed Sheeran's song come aliveeee Nice shopping street where everyone can find something to itself Scenic pedestrianised street Great street with nice shops. A lot of street performers also. It can get busy so I would recommend going in the morning"
39,Grattan Bridge,4.375,"Probably one of the best locations to take beautiful pictures of Dublin. I was too lazy to, but that doesn't mean you should be. The walkways are spacious and connect the two most popular regions of Dublin together. When the water is flat and the sky has beautiful clouds, it's perfect for a photo. I love landscapes and every day is a different one, in the same place. I used it to make music with lots of people listening to it Good views up and down the Liffey with south facing seats for warm sunny days Only place where we were able to see the New Year's fireworks....but it is very short and not extraordinary A relatively wide bridge where you can actually sit on.

It offers some scenic views of Dublin's buildings along the river. The water wasn't really pleasant to look at, and the smells were not that great. Birds are bothering is and pooping every where. There were seats but most were not clean. However, it had fantastic street at in view, so it was worth the walk. One of many bridges that cross the River Liffey."
40,Griffith Park,4.875,"We visited Griffith Park for a child's birthday party. It is a fabulous location for this as it has a lovely large playground near a seating area. The Tram cafe is centred about 100 meters from the playground. There is good parking nearby. The kids had a blast and the adults had a wonderful time chatting while keeping an eye on sprogs. One of the most beautiful parks I've ever been to around the world  lots of playground areas for kids, an outdoor workout set, as well as lots of beautiful areas of grass, trees and river. Beautiful and big park. Includes a complete playground with sandbox. It is a really good place to go with your family! Have a lot of space to kids and dogs. Lovely Wonderful park, full of kids and families. The children's playground was done up nice and we love spending a day enjoying the sand pit or the swings with the little one. New coffee shop with the restroom available on the spot was a much needed addition. Beautiful park. Ideal for a walk, relaxation, sports equipment available , children's playground, very big enough for joggers and even watching a gentle stream flowing in the middle.  Very good. Fantastic park, was a long time since I'd been there so was a pleasant surprise to see it had been transformed.
If your local.or even a short trip away i highly recommend visiting A beautiful park with the Tolka River running through it.  The park is full of lovely, mature trees throughout.  Perfect for days out and long walks.  The Tram Cafe is located beside the playgrounds.  Their coffee is fantastic and is well worth checking out."
41,Guinness Storehouse,4.75,"Today marked my third visit to this prestigious venue, eager to immerse myself once again in the world of Guinness beer. What continues to captivate me is the mesmerizing cascade of bubbles that dance down the glass as the beer settles. It's a sight that never fails to intrigue and delight. Despite not being a beer enthusiast originally, Guinness has completely won me over with its rich flavors and smooth texture. It's no wonder why Irish people hold it in such high regard. Each visit deepens my appreciation for this iconic brew and the craft behind it. The Guinness Storehouse in Dublin is a must-visit. This historic seven-story building offers an immersive experience into the world of Guinness, covering its history, brewing process, and iconic advertising. Highlights include the hands-on Guinness Academy, where you learn to pour the perfect pint, and the Gravity Bar, offering stunning panoramic views of Dublin alongside a complimentary pint of Guinness. The exhibits are well-presented and the staff are knowledgeable and friendly. Overall, it's a captivating blend of culture, history, and interactive fun, making it a top attraction in Dublin. Highly recommended! Great experience and I've done plenty of brewery tours (Budweiser, Coors, etc) and ever worked at Coors brewery.. this was by far the best family friendly experience tour I've been on for major brands.  My non-beer drinking wife and mom loved it, and my 1yr old baby loved it based on her reactions throughout the self paced tour.  Stroller friendly, and you get to skip the entry line too with a stroller.  Experience is great, ends with a pint or soft drink, and the gift shop has everything you need to remember your time.  Golf peeps they have something for us in the shop. This was a great experience there is a lot to see and learn here. I did the guided tasting and it was worth every penny, we got to sample different types of Guinness and learn how to pour the perfect pint at the end of the tour. The gift shop was full of really interesting and unique items that made wonderful gifts. I would strongly recommend that you book your tour in advance spots in the guided tour go fast. At the end of the tour you get a voucher for a free pint of Guinness on the roof of the building, there are some people who don't drink Guinness so they may offer you the voucher for the free drink. The views from the top of the storehouse are amazing you can see a lot from there on a clear day. Interesting place to visit, obviously centred around Guinness fans. We did feel that the exhibits were somewhat padded out to try to fill the space. A whole area dedicated to the water used etc etc. Good views from the bar at the top, the advertising floor was quite interesting. In my opinion, unless you are a real fan of Guinness it is interesting but not a must visit. The most iconic tourist attraction in Dublin, I really did enjoy my visit, it was a self guided tour with some amazing views, dance and music show and history and we got to try a glass of the drink. It's a must visit. We had an amazing time. They were also horse carriage rides just right outside if you wanted to. Buy tickets for the self guided tour as they sell out fast. Easy to enter. Your was great. Lots of cool visuals and videos. Grab a pint on the top floor with a 360 view of Dublin. The Guinness storehouse is a must bucket list place to visit!
We were totally blown away with all the details, information and visual artifacts on the tour!

I was wondering what it was going to be in here? But was pleasantly surprised!

So much to view and information to take in, it was kind of overwhelming and fascinating!
I loved the visual waterfall that they produced shapes of Guinness
Glasses, The Irish Harp symbol, and their pure water in display, dropping from the ceiling.
It was so quick and clear, but hard to get a good picture of it all.

Also loved the wheat growing in the field section, the colour changes in use wheat and ceiling beautiful!

I was also fascinated with the information of how the Coopers made all the barrels, to hold all the Guinness made.
As a Carpenter myself, had great respect for how hard this job would of been! All done by hand, shaping all this Oak, at great speeds, with only the eye of the tradesman, perfecting the pieces to make the barrels

Information to how they made the Guinness finished product in visuals, was brilliant, learnt so much today.

Then onto the taste testing room, where they done a presentation and we all had a tiny glass of Guinness

Finally, up to the Gravity bar where we had a free pint of the black stuff, a beautiful pint of Guinness each

We managed to share a take and seats with a lovely group of Americans.

We enjoyed our Guinness and the view of the Dublin City landscape, truly fantastic!
Thank you to all at the Guinness factory."
